,id,name,sex,birth,user_id,password,household
0,1,김세운,M,19990606,kimsewoon0001,kimsewoon44,1
1,2,강미준,M,19790623,kangmijun0002,kangmijun71,2
2,3,김예숙,M,19870623,kimyesook0003,kimyesook34,2
3,4,정상태,M,19790308,jungsangtae0004,jungsangtae25,3
4,5,전동지,M,19690222,jeondongji0005,jeondongji51,2
5,6,원성하,M,19940916,wonsungha0006,wonsungha21,4
6,7,김후석,M,19700909,kimhooseok0007,kimhooseok17,3
7,8,안미기,M,20010326,anmiki0008,anmiki18,1
8,9,이주하,M,20001203,leejuha0009,leejuha96,1
9,10,박동석,M,19870426,parkdongseok0010,parkdongseok27,1
10,11,김지재,M,19761222,kimjijae0011,kimjijae15,4
11,12,김성보,M,19900830,kimsungbo0012,kimsungbo42,4
12,13,임면준,M,19741124,immyeonjun0013,immyeonjun44,4
13,14,박성성,M,19730824,parksungsung0014,parksungsung43,2
14,15,이재리,M,19730228,leejaeri0015,leejaeri16,2
15,16,여원관,M,19740425,yeowonkwan0016,yeowonkwan84,1
16,17,조지준,M,19720302,chojijun0017,chojijun51,1
17,18,황병하,M,19810525,hwangbyungha0018,hwangbyungha30,1
18,19,오태성,M,20010729,ohtaesung0019,ohtaesung22,2
19,20,김선연,M,19800716,kimsunyeon0020,kimsunyeon16,3
20,21,이성미,M,19900831,leesungmi0021,leesungmi57,1
21,22,박우주,M,20000519,parkwooju0022,parkwooju94,3
22,23,권원원,M,19750309,kwonwonwon0023,kwonwonwon3,1
23,24,이미운,M,19970809,leemiwoon0024,leemiwoon84,1
24,25,류호준,M,19861127,ryuhojun0025,ryuhojun6,4
25,26,김요이,M,19980831,kimyoyi0026,kimyoyi12,3
26,27,선혀란,M,19820225,sunhyeoran0027,sunhyeoran90,3
27,28,윤혀하,M,20010801,yoonhyeoha0028,yoonhyeoha47,1
28,29,강운미,M,19740310,kangwoonmi0029,kangwoonmi89,3
29,30,우지하,M,19730514,woojiha0030,woojiha44,1
30,31,박겅지,M,19971002,parkgeongji0031,parkgeongji85,2
31,32,박재미,M,19911019,parkjaemi0032,parkjaemi63,3
32,33,황이하,M,19921108,hwangyiha0033,hwangyiha41,2
33,34,심재원,M,20010102,simjaewon0034,simjaewon18,2
34,35,주면연,M,19760601,joomyeonyeon0035,joomyeonyeon20,2
35,36,박정이,M,20010608,parkjungyi0036,parkjungyi14,1
36,37,박상하,M,19890731,parksangha0037,parksangha17,2
37,38,정동연,M,19980215,jungdongyeon0038,jungdongyeon16,4
38,39,이지우,M,19870618,leejiwoo0039,leejiwoo68,3
39,40,전재원,M,19961031,jeonjaewon0040,jeonjaewon47,1
40,41,김후하,M,19990512,kimhooha0041,kimhooha37,1
41,42,안지하,M,19700923,anjiha0042,anjiha27,2
42,43,임의주,M,19901216,imeuiju0043,imeuiju98,1
43,44,구호리,M,19970819,guhori0044,guhori4,2
44,45,서찬하,M,19711012,seochanha0045,seochanha33,3
45,46,이하하,M,19850817,leehaha0046,leehaha7,4
46,47,장지연,M,19740305,jangjiyeon0047,jangjiyeon80,1
47,48,양윤찬,M,19990701,yangyoonchan0048,yangyoonchan41,2
48,49,김성찬,M,19741014,kimsungchan0049,kimsungchan49,1
49,50,장규석,M,19851111,jangkyuseok0050,jangkyuseok28,2
50,51,김성운,M,19680731,kimsungwoon0051,kimsungwoon84,3
51,52,김재석,M,20000218,kimjaeseok0052,kimjaeseok79,3
52,53,지시주,M,19700716,jisiju0053,jisiju97,5
53,54,조면원,M,19700304,chomyeonwon0054,chomyeonwon15,4
54,55,장성순,M,19960716,jangsungsoon0055,jangsungsoon83,4
55,56,이엉안,M,19940818,leeeongan0056,leeeongan73,1
56,57,진찬미,M,20020523,jinchanmi0057,jinchanmi30,1
57,58,조기기,M,19950629,chokiki0058,chokiki86,4
58,59,백성태,M,19890826,baeksungtae0059,baeksungtae91,2
59,60,정하하,M,19990710,junghaha0060,junghaha15,2
60,61,임응주,M,19720712,imeungju0061,imeungju23,2
61,62,유세미,M,19691202,yoosemi0062,yoosemi60,2
62,63,서오운,M,19970312,seoowoon0063,seoowoon98,3
63,64,윤창하,M,19870120,yoonchangha0064,yoonchangha54,3
64,65,전미원,M,19891016,jeonmiwon0065,jeonmiwon67,1
65,66,황혀미,M,19681221,hwanghyeomi0066,hwanghyeomi19,1
66,67,최정하,M,19951003,choijungha0067,choijungha6,1
67,68,박승하,M,19751130,parkseungha0068,parkseungha29,3
68,69,박하소,M,19711204,parkhaso0069,parkhaso56,2
69,70,김승하,M,19900409,kimseungha0070,kimseungha45,4
70,71,김승면,M,19970325,kimseungmyeon0071,kimseungmyeon35,3
71,72,방도푱,M,19820120,bangdopyong0072,bangdopyong68,1
72,73,김상권,M,19780202,kimsangkwon0073,kimsangkwon43,2
73,74,김면하,M,19760405,kimmyeonha0074,kimmyeonha73,4
74,75,김효렴,M,19930301,kimhyoryeom0075,kimhyoryeom66,1
75,76,권병성,M,19771209,kwonbyungsung0076,kwonbyungsung15,4
76,77,김동성,M,20020127,kimdongsung0077,kimdongsung89,4
77,78,현기하,M,19960821,hyunkiha0078,hyunkiha87,1
78,79,김봉연,M,19781116,kimbongyeon0079,kimbongyeon32,1
79,80,김동영,M,20010616,kimdongyoung0080,kimdongyoung67,4
80,81,박유이,M,20001029,parkyuyi0081,parkyuyi27,1
81,82,고상역,M,19990302,kosangyeok0082,kosangyeok69,3
82,83,김규롱,M,19861125,kimkyurong0083,kimkyurong6,2
83,84,한이태,M,20021006,hanyitae0084,hanyitae77,4
84,85,최산하,M,19880325,choisanha0085,choisanha14,1
85,86,장성하,M,19680818,jangsungha0086,jangsungha21,1
86,87,고준운,M,19740111,kojunwoon0087,kojunwoon58,3
87,88,박주원,M,19790413,parkjuwon0088,parkjuwon1,2
88,89,한상하,M,19790322,hansangha0089,hansangha31,1
89,90,김효미,M,19881117,kimhyomi0090,kimhyomi47,3
90,91,김천하,M,19920405,kimchunha0091,kimchunha41,2
91,92,정유탁,M,20020514,jungyutak0092,jungyutak50,1
92,93,김순태,M,19970614,kimsoontae0093,kimsoontae81,2
93,94,임혀비,M,19690109,imhyeobi0094,imhyeobi50,2
94,95,한겅세,M,19740110,hangeongse0095,hangeongse17,3
95,96,김경원,M,19900712,kimkyungwon0096,kimkyungwon59,5
96,97,정호하,M,19831101,junghoha0097,junghoha55,3
97,98,김상미,M,19700916,kimsangmi0098,kimsangmi4,3
98,99,이나하,M,19930104,leenaha0099,leenaha81,3
99,100,박성하,M,19790613,parksungha0100,parksungha39,2
100,101,조승근,M,19741113,choseunggeun0101,choseunggeun56,3
101,102,최성하,M,19770428,choisungha0102,choisungha12,5
102,103,송성안,M,19751205,songsungan0103,songsungan95,4
103,104,박영하,M,19840521,parkyoungha0104,parkyoungha16,4
104,105,장주하,M,19770922,jangjuha0105,jangjuha12,1
105,106,권영우,M,19830927,kwonyoungwoo0106,kwonyoungwoo21,1
106,107,이지하,M,20001201,leejiha0107,leejiha71,3
107,108,김기성,M,19861211,kimkisung0108,kimkisung62,4
108,109,이재숙,M,19840910,leejaesook0109,leejaesook75,1
109,110,박재하,M,19900821,parkjaeha0110,parkjaeha98,2
110,111,전태미,M,19710117,jeontaemi0111,jeontaemi89,4
111,112,김수하,M,19960315,kimsooha0112,kimsooha27,2
112,113,김이규,M,19690418,kimyikyu0113,kimyikyu45,2
113,114,조우하,M,19750401,chowooha0114,chowooha80,2
114,115,조혀우,M,19740331,chohyeowoo0115,chohyeowoo58,2
115,116,이혀하,M,19860103,leehyeoha0116,leehyeoha36,1
116,117,오동하,M,19781215,ohdongha0117,ohdongha99,1
117,118,이태준,M,19780519,leetaejun0118,leetaejun20,3
118,119,김미하,M,19691109,kimmiha0119,kimmiha55,1
119,120,서둥우,M,19840125,seodungwoo0120,seodungwoo88,3
120,121,배상석,M,19881118,baesangseok0121,baesangseok61,2
121,122,김호석,M,19900519,kimhoseok0122,kimhoseok69,4
122,123,백승미,M,19750304,baekseungmi0123,baekseungmi51,3
123,124,지완하,M,19860505,jiwanha0124,jiwanha92,2
124,125,이용하,M,19860917,leeyongha0125,leeyongha69,1
125,126,허태주,M,19981022,heotaeju0126,heotaeju29,1
126,127,박순영,M,20000316,parksoonyoung0127,parksoonyoung89,3
127,128,홍벙고,M,19700313,hongbeonggo0128,hongbeonggo40,4
128,129,김혀문,M,19760621,kimhyeomoon0129,kimhyeomoon36,3
129,130,한이석,M,19690101,hanyiseok0130,hanyiseok38,1
130,131,신영주,M,19760415,shinyoungju0131,shinyoungju57,4
131,132,허하선,M,19830913,heohasun0132,heohasun42,3
132,133,오찬용,M,19710627,ohchanyong0133,ohchanyong53,4
133,134,남기수,M,19770509,namkisoo0134,namkisoo3,2
134,135,김겅운,M,20010809,kimgeongwoon0135,kimgeongwoon21,3
135,136,최혀번,M,19900721,choihyeobeon0136,choihyeobeon43,2
136,137,신승유,M,19941126,shinseungyu0137,shinseungyu36,3
137,138,안채우,M,19981031,anchaewoo0138,anchaewoo62,1
138,139,김벙역,M,19910502,kimbeongyeok0139,kimbeongyeok48,1
139,140,정유석,M,19850210,jungyuseok0140,jungyuseok50,3
140,141,최승운,M,19880910,choiseungwoon0141,choiseungwoon60,5
141,142,김병하,M,19980724,kimbyungha0142,kimbyungha2,1
142,143,박양운,M,19930506,parkyangwoon0143,parkyangwoon72,1
143,144,이운석,M,19890128,leewoonseok0144,leewoonseok44,2
