birth,household,id,name,password,sex,user_id
19960221,2,1,조도찬,chodochan40,M,chodochan0001
19761025,1,2,마태찬,mataechan29,M,mataechan0002
19820722,1,3,정희하,jungheeha17,M,jungheeha0003
19480501,1,4,김영하,kimyoungha17,M,kimyoungha0004
19881215,2,5,김윤덕,kimyoonduk39,M,kimyoonduk0005
19581221,4,6,김상성,kimsangsung31,M,kimsangsung0006
19850715,4,7,최재하,choijaeha3,M,choijaeha0007
19601124,1,8,이성규,leesungkyu4,M,leesungkyu0008
19671215,4,9,이재석,leejaeseok69,M,leejaeseok0009
19640414,1,10,이준준,leejunjun63,M,leejunjun0010
19890509,3,11,박명영,parkmyungyoung84,M,parkmyungyoung0011
19951027,5,12,문승미,moonseungmi35,M,moonseungmi0012
19530521,1,13,김성미,kimsungmi6,M,kimsungmi0013
19660501,1,14,심지사,simjisa28,M,simjisa0014
19820623,3,15,유창미,yoochangmi63,M,yoochangmi0015
19491217,1,16,김미하,kimmiha34,M,kimmiha0016
19490923,3,17,황용기,hwangyongki16,M,hwangyongki0017
19600114,2,18,양혀하,yanghyeoha21,M,yanghyeoha0018
19641107,4,19,김웅찬,kimwoongchan40,M,kimwoongchan0019
20011126,5,20,조동하,chodongha13,M,chodongha0020
19920730,2,21,임의하,imeuiha80,M,imeuiha0021
19490202,1,22,신지하,shinjiha7,M,shinjiha0022
19930122,3,23,유휘찬,yoohwichan58,M,yoohwichan0023
19850928,4,24,김승하,kimseungha79,M,kimseungha0024
19640615,3,25,김방산,kimbangsan47,M,kimbangsan0025
19510326,3,26,김재영,kimjaeyoung21,M,kimjaeyoung0026
19580807,3,27,김미섭,kimmisub13,M,kimmisub0027
19690205,4,28,김이하,kimyiha91,M,kimyiha0028
19581019,3,29,최춘언,choichuneon5,M,choichuneon0029
19610211,1,30,이대원,leedaewon24,M,leedaewon0030
19650917,4,31,신재원,shinjaewon85,M,shinjaewon0031
19830506,3,32,이성운,leesungwoon80,M,leesungwoon0032
19871206,2,33,권혀태,kwonhyeotae38,M,kwonhyeotae0033
19941219,2,34,조동지,chodongji42,M,chodongji0034
19571011,1,35,김윤하,kimyoonha35,M,kimyoonha0035
19800106,2,36,오요우,ohyowoo20,M,ohyowoo0036
19950806,3,37,장영견,jangyounggyeon7,M,jangyounggyeon0037
19880227,3,38,이혀역,leehyeoyeok23,M,leehyeoyeok0038
19560529,4,39,서겅운,seogeongwoon51,M,seogeongwoon0039
19590503,2,40,송앙서,songangseo14,M,songangseo0040
19850618,3,41,백승준,baekseungjun83,M,baekseungjun0041
19720522,1,42,장혀재,janghyeojae5,M,janghyeojae0042
19910403,4,43,박병하,parkbyungha32,M,parkbyungha0043
19620710,2,44,김지시,kimjisi70,M,kimjisi0044
19540110,1,45,조혀석,chohyeoseok20,M,chohyeoseok0045
19641124,2,46,원희재,wonheejae73,M,wonheejae0046
19810707,4,47,고종평,kojongpyung84,M,kojongpyung0047
19960426,1,48,장원억,jangwoneok4,M,jangwoneok0048
19631127,2,49,김준석,kimjunseok26,M,kimjunseok0049
19860301,1,50,정찬하,jungchanha86,M,jungchanha0050
19710720,3,51,김호하,kimhoha51,M,kimhoha0051
19710308,1,52,김혀난,kimhyeonan15,M,kimhyeonan0052
20000826,3,53,최창찬,choichangchan2,M,choichangchan0053
19560220,2,54,오재하,ohjaeha43,M,ohjaeha0054
19630904,2,55,권원하,kwonwonha73,M,kwonwonha0055
19910220,2,56,오미하,ohmiha51,M,ohmiha0056
19760721,3,57,배재용,baejaeyong95,M,baejaeyong0057
19561128,1,58,박전균,parkjeonkyun42,M,parkjeonkyun0058
19711031,1,59,조태우,chotaewoo18,M,chotaewoo0059
19640626,3,60,김성재,kimsungjae47,M,kimsungjae0060
19921204,3,61,이유하,leeyuha85,M,leeyuha0061
19940829,2,62,박승시,parkseungsi50,M,parkseungsi0062
19950715,2,63,변미하,byunmiha68,M,byunmiha0063
20011222,3,64,장주석,jangjuseok55,M,jangjuseok0064
19870910,3,65,주창승,joochangseung91,M,joochangseung0065
19691003,1,66,이기하,leekiha7,M,leekiha0066
19580509,1,67,임동하,imdongha11,M,imdongha0067
19650919,1,68,하창용,hachangyong41,M,hachangyong0068
19681026,1,69,고후하,kohooha89,M,kohooha0069
19790527,1,70,유미시,yoomisi13,M,yoomisi0070
19820819,1,71,신성섭,shinsungsub85,M,shinsungsub0071
19970129,4,72,김수서,kimsooseo72,M,kimsooseo0072
19560712,4,73,정저규,jungjeokyu58,M,jungjeokyu0073
19550823,1,74,이찬하,leechanha25,M,leechanha0074
19740715,4,75,박미미,parkmimi24,M,parkmimi0075
19800410,1,76,신재운,shinjaewoon34,M,shinjaewoon0076
19760406,1,77,조재비,chojaebi33,M,chojaebi0077
19690108,1,78,신성지,shinsungji79,M,shinsungji0078
19551111,2,79,김주미,kimjumi42,M,kimjumi0079
19690623,4,80,박미하,parkmiha12,M,parkmiha0080
19970622,1,81,황승하,hwangseungha76,M,hwangseungha0081
19751110,2,82,김동하,kimdongha68,M,kimdongha0082
19560206,1,83,김준재,kimjunjae82,M,kimjunjae0083
19500408,3,84,한벙태,hanbeongtae84,M,hanbeongtae0084
19510204,1,85,김태량,kimtaeryang58,M,kimtaeryang0085
19591108,2,86,이정연,leejungyeon1,M,leejungyeon0086
19750601,2,87,김남덕,kimnamduk83,M,kimnamduk0087
19791005,1,88,이기운,leekiwoon36,M,leekiwoon0088
19711130,2,89,장시완,jangsiwan87,M,jangsiwan0089
19831009,4,90,김봉성,kimbongsung84,M,kimbongsung0090
19481110,1,91,조지시,chojisi2,M,chojisi0091
19970105,3,92,유동수,yoodongsoo19,M,yoodongsoo0092
19480609,2,93,정승하,jungseungha81,M,jungseungha0093
19801205,3,94,오상연,ohsangyeon77,M,ohsangyeon0094
19630521,3,95,강운하,kangwoonha20,M,kangwoonha0095
19930311,1,96,조병원,chobyungwon45,M,chobyungwon0096
19501026,3,97,배서찬,baeseochan75,M,baeseochan0097
19970528,1,98,이선영,leesunyoung27,M,leesunyoung0098
19760226,4,99,이세원,leesewon81,M,leesewon0099
19680114,1,100,최승주,choiseungju80,M,choiseungju0100
19690505,3,101,김병석,kimbyungseok32,M,kimbyungseok0101
19650731,4,102,김성천,kimsungchun54,M,kimsungchun0102
19630413,1,103,황호요,hwanghoyo63,M,hwanghoyo0103
19831120,5,104,한재미,hanjaemi51,M,hanjaemi0104
19950630,3,105,김재기,kimjaeki15,M,kimjaeki0105
19620109,1,106,고태하,kotaeha1,M,kotaeha0106
19950221,4,107,정면하,jungmyeonha24,M,jungmyeonha0107
19880810,2,108,황영석,hwangyoungseok10,M,hwangyoungseok0108
19960528,1,109,김호재,kimhojae30,M,kimhojae0109
19510728,1,110,조승연,choseungyeon96,M,choseungyeon0110
19630728,4,111,김봉하,kimbongha44,M,kimbongha0111
20011208,3,112,김영미,kimyoungmi11,M,kimyoungmi0112
19970806,5,113,최승균,choiseungkyun19,M,choiseungkyun0113
20000408,2,114,최재주,choijaeju66,M,choijaeju0114
19751123,2,115,박지운,parkjiwoon44,M,parkjiwoon0115
19690422,3,116,이혀승,leehyeoseung83,M,leehyeoseung0116
19560310,4,117,이호미,leehomi86,M,leehomi0117
19900426,1,118,이지하,leejiha86,M,leejiha0118
19690804,3,119,임영이,imyoungyi21,M,imyoungyi0119
19971111,2,120,김주석,kimjuseok61,M,kimjuseok0120
19520825,4,121,조시피,chosipi30,M,chosipi0121
19930719,4,122,박연재,parkyeonjae32,M,parkyeonjae0122
19830108,1,123,정균운,jungkyunwoon11,M,jungkyunwoon0123
19720101,3,124,금성우,geumsungwoo11,M,geumsungwoo0124
19980826,5,125,김경하,kimkyungha58,M,kimkyungha0125
19960429,3,126,김지균,kimjikyun70,M,kimjikyun0126
19490212,2,127,박성운,parksungwoon30,M,parksungwoon0127
19650626,3,128,김가원,kimgawon71,M,kimgawon0128
19801012,4,129,박예하,parkyeha70,M,parkyeha0129
19650801,2,130,노주하,nojuha49,M,nojuha0130
19530412,2,131,김이이,kimyiyi88,M,kimyiyi0131
19550524,2,132,황호하,hwanghoha33,M,hwanghoha0132
19940319,4,133,한자하,hanjaha31,M,hanjaha0133
19740823,3,134,곽기하,kwakkiha52,M,kwakkiha0134
19720601,2,135,김숭준,kimsungjun71,M,kimsungjun0135
19991031,3,136,성정하,sungjungha86,M,sungjungha0136
19971221,1,137,차영하,chayoungha57,M,chayoungha0137
19550217,1,138,유주선,yoojusun32,M,yoojusun0138
19730410,3,139,유대하,yoodaeha59,M,yoodaeha0139
19790213,1,140,최정면,choijungmyun18,M,choijungmyun0140
19771211,4,141,홍미하,hongmiha36,M,hongmiha0141
19800814,3,142,김희준,kimheejun2,M,kimheejun0142
19660705,1,143,이예하,leeyeha77,M,leeyeha0143
19850410,2,144,고호누,kohonu19,M,kohonu0144
19790331,2,145,이영삭,leeyoungsak65,M,leeyoungsak0145
19550124,3,146,최도미,choidomi93,M,choidomi0146
19760402,4,147,김준지,kimjunji55,M,kimjunji0147
19901018,2,148,김지하,kimjiha39,M,kimjiha0148
